job,marital,h_loan,p_loan,month,day_of_week,poutcome
admin.,married,yes,no,jul,tue,nonexistent
services,married,no,no,jul,tue,nonexistent
technician,divorced,yes,no,jul,tue,nonexistent
technician,divorced,no,no,jul,tue,nonexistent
technician,single,no,no,jul,tue,nonexistent
blue-collar,married,no,no,jul,tue,nonexistent
blue-collar,single,no,no,jul,tue,nonexistent
blue-collar,married,no,no,jul,tue,nonexistent
admin.,single,no,yes,jul,tue,nonexistent
blue-collar,married,no,no,jul,tue,nonexistent
services,married,no,no,jul,tue,nonexistent
technician,single,no,no,jul,tue,nonexistent
services,married,yes,no,jul,tue,nonexistent
self-employed,divorced,no,no,jul,tue,nonexistent
technician,single,no,yes,jul,tue,nonexistent
blue-collar,married,yes,yes,jul,tue,nonexistent
admin.,single,no,no,jul,tue,nonexistent
admin.,single,no,no,jul,tue,nonexistent
retired,divorced,yes,no,jul,tue,nonexistent
retired,divorced,yes,no,jul,tue,nonexistent
management,married,yes,no,jul,tue,nonexistent
technician,single,no,no,jul,tue,nonexistent
retired,divorced,yes,no,jul,tue,nonexistent
admin.,single,yes,no,jul,tue,nonexistent
blue-collar,married,no,yes,jul,tue,nonexistent
technician,married,yes,no,jul,tue,nonexistent
technician,married,no,no,jul,tue,nonexistent
student,single,yes,no,jul,tue,nonexistent
blue-collar,single,no,no,jul,tue,nonexistent
blue-collar,married,yes,no,jul,tue,nonexistent
admin.,married,yes,no,jul,tue,nonexistent
services,divorced,yes,no,jul,tue,nonexistent
blue-collar,married,yes,yes,jul,tue,nonexistent
blue-collar,married,no,yes,jul,tue,nonexistent
services,married,yes,no,jul,tue,nonexistent
admin.,single,yes,no,jul,tue,nonexistent
admin.,single,no,no,jul,tue,nonexistent
admin.,single,no,no,jul,tue,nonexistent
blue-collar,divorced,yes,no,jul,tue,nonexistent
admin.,single,no,no,jul,tue,nonexistent
admin.,single,yes,no,jul,tue,nonexistent
services,single,yes,no,jul,tue,nonexistent
retired,married,no,no,jul,tue,nonexistent
entrepreneur,married,yes,no,jul,tue,nonexistent
admin.,single,no,no,jul,tue,nonexistent
entrepreneur,married,no,no,jul,tue,nonexistent
entrepreneur,married,no,no,jul,tue,nonexistent
admin.,single,no,no,jul,tue,nonexistent
management,married,yes,no,jul,tue,nonexistent
blue-collar,single,yes,yes,jul,tue,nonexistent
services,divorced,yes,yes,jul,tue,nonexistent
entrepreneur,married,no,no,jul,tue,nonexistent
admin.,married,yes,no,jul,tue,nonexistent
entrepreneur,single,yes,no,jul,tue,nonexistent
management,single,no,no,jul,tue,nonexistent
entrepreneur,married,yes,no,jul,tue,nonexistent
blue-collar,married,no,no,jul,tue,nonexistent
technician,divorced,yes,no,jul,tue,nonexistent
admin.,single,no,no,jul,tue,nonexistent
blue-collar,married,yes,no,jul,tue,nonexistent
admin.,single,no,no,jul,tue,nonexistent
management,single,yes,yes,jul,tue,nonexistent
admin.,single,yes,no,jul,tue,nonexistent
blue-collar,divorced,no,no,jul,tue,nonexistent
blue-collar,married,yes,yes,jul,tue,nonexistent
blue-collar,married,yes,no,jul,tue,nonexistent
admin.,married,yes,no,jul,tue,nonexistent
admin.,married,no,yes,jul,tue,nonexistent
technician,single,yes,no,jul,tue,nonexistent
blue-collar,single,no,yes,jul,tue,nonexistent
blue-collar,divorced,yes,no,jul,tue,nonexistent
retired,divorced,yes,no,jul,tue,nonexistent
blue-collar,married,no,no,jul,tue,nonexistent
technician,married,yes,no,jul,tue,nonexistent
blue-collar,married,yes,no,jul,tue,nonexistent
blue-collar,married,no,yes,jul,tue,nonexistent
retired,married,no,no,jul,tue,nonexistent
admin.,single,yes,yes,jul,tue,nonexistent
retired,married,yes,yes,jul,tue,nonexistent
admin.,single,no,no,jul,tue,nonexistent
admin.,single,no,no,jul,tue,nonexistent
admin.,single,yes,yes,jul,tue,nonexistent
blue-collar,divorced,yes,no,jul,tue,nonexistent
blue-collar,married,yes,no,jul,tue,nonexistent
admin.,married,yes,yes,jul,tue,nonexistent
blue-collar,married,no,no,jul,tue,nonexistent
technician,married,yes,no,jul,tue,nonexistent
management,married,no,yes,jul,tue,nonexistent
services,married,yes,no,jul,tue,nonexistent
blue-collar,married,no,no,jul,tue,nonexistent
blue-collar,married,yes,no,jul,tue,nonexistent
blue-collar,divorced,yes,yes,jul,tue,nonexistent
retired,married,no,yes,jul,tue,nonexistent
blue-collar,married,yes,no,jul,tue,nonexistent
admin.,married,yes,yes,jul,tue,nonexistent
admin.,single,yes,no,jul,tue,nonexistent
blue-collar,married,no,no,jul,tue,nonexistent
technician,married,no,no,jul,tue,nonexistent
blue-collar,single,yes,yes,jul,tue,nonexistent
technician,married,yes,no,jul,tue,nonexistent
admin.,single,no,yes,jul,tue,nonexistent
management,married,yes,no,jul,tue,nonexistent
blue-collar,married,no,no,jul,tue,nonexistent
services,married,yes,no,jul,tue,nonexistent
services,divorced,yes,no,jul,tue,nonexistent
services,married,no,yes,jul,tue,nonexistent
admin.,divorced,no,no,jul,tue,nonexistent
blue-collar,single,no,no,jul,tue,nonexistent
entrepreneur,married,no,no,jul,tue,nonexistent
blue-collar,single,yes,yes,jul,tue,nonexistent
blue-collar,married,no,no,jul,tue,nonexistent
housemaid,married,no,no,jul,tue,nonexistent
services,married,no,no,jul,tue,nonexistent
services,married,no,no,jul,tue,nonexistent
technician,single,no,no,jul,tue,nonexistent
management,single,no,no,jul,tue,nonexistent
services,married,yes,no,jul,tue,nonexistent
services,married,no,no,jul,tue,nonexistent
services,married,no,no,jul,tue,nonexistent
services,married,yes,no,jul,tue,nonexistent
admin.,married,yes,no,jul,tue,nonexistent
self-employed,married,yes,no,jul,tue,nonexistent
admin.,married,yes,no,jul,tue,nonexistent
blue-collar,single,yes,no,jul,tue,nonexistent
blue-collar,divorced,yes,no,jul,tue,nonexistent
technician,single,no,no,jul,tue,nonexistent
technician,married,yes,no,jul,tue,nonexistent
services,married,yes,no,jul,tue,nonexistent
blue-collar,single,yes,no,jul,tue,nonexistent
admin.,single,yes,no,jul,tue,nonexistent
entrepreneur,married,yes,no,jul,tue,nonexistent
blue-collar,single,yes,no,jul,tue,nonexistent
services,married,no,yes,jul,tue,nonexistent
services,married,no,no,jul,tue,nonexistent
services,married,yes,no,jul,tue,nonexistent
blue-collar,single,yes,no,jul,tue,nonexistent
admin.,married,yes,no,jul,tue,nonexistent
admin.,single,no,no,jul,tue,nonexistent
blue-collar,single,no,no,jul,tue,nonexistent
admin.,divorced,yes,yes,jul,tue,nonexistent
services,married,yes,no,jul,tue,nonexistent
admin.,single,yes,yes,jul,tue,nonexistent
blue-collar,married,yes,no,jul,tue,nonexistent
services,single,no,no,jul,tue,nonexistent
admin.,single,yes,yes,jul,tue,nonexistent
admin.,married,yes,yes,jul,tue,nonexistent
technician,divorced,yes,no,jul,tue,nonexistent
services,married,yes,no,jul,tue,nonexistent
blue-collar,single,yes,no,jul,tue,nonexistent
admin.,married,no,yes,jul,tue,nonexistent
services,married,yes,no,jul,tue,nonexistent
admin.,single,yes,no,jul,tue,nonexistent
entrepreneur,married,yes,yes,jul,tue,nonexistent
blue-collar,divorced,no,no,jul,tue,nonexistent
services,divorced,yes,no,jul,tue,nonexistent
services,married,yes,no,jul,tue,nonexistent
technician,single,no,no,jul,tue,nonexistent
admin.,single,no,no,jul,tue,nonexistent
admin.,married,no,no,jul,tue,nonexistent
technician,single,no,no,jul,tue,nonexistent
management,single,no,no,jul,tue,nonexistent
technician,married,yes,no,jul,tue,nonexistent
blue-collar,married,no,no,jul,tue,nonexistent
retired,married,yes,no,jul,tue,nonexistent
blue-collar,married,yes,no,jul,tue,nonexistent
management,married,yes,no,jul,tue,nonexistent
entrepreneur,single,yes,no,jul,tue,nonexistent
blue-collar,married,no,no,jul,tue,nonexistent
admin.,married,no,no,jul,tue,nonexistent
blue-collar,divorced,yes,no,jul,tue,nonexistent
admin.,single,yes,no,jul,tue,nonexistent
technician,married,yes,no,jul,tue,nonexistent
blue-collar,married,yes,no,jul,tue,nonexistent
services,divorced,yes,no,jul,tue,nonexistent
admin.,single,yes,no,jul,tue,nonexistent
services,married,yes,yes,jul,tue,nonexistent
technician,single,no,no,jul,tue,nonexistent
services,married,yes,no,jul,tue,nonexistent
self-employed,single,yes,no,jul,tue,nonexistent
blue-collar,married,yes,yes,jul,tue,nonexistent
services,married,no,no,jul,tue,nonexistent
technician,single,yes,no,jul,tue,nonexistent
technician,married,yes,no,jul,tue,nonexistent
student,single,no,no,jul,tue,nonexistent
admin.,single,no,yes,jul,tue,nonexistent
technician,married,yes,no,jul,tue,nonexistent
blue-collar,married,yes,no,jul,tue,nonexistent
technician,single,no,no,jul,tue,nonexistent
entrepreneur,married,yes,no,jul,tue,nonexistent
student,single,no,no,jul,tue,nonexistent
blue-collar,single,no,no,jul,tue,nonexistent
services,single,no,no,jul,tue,nonexistent
admin.,married,yes,no,jul,tue,nonexistent
services,single,no,no,jul,tue,nonexistent
services,single,no,no,jul,tue,nonexistent
technician,divorced,yes,no,jul,tue,nonexistent
unemployed,divorced,yes,no,jul,tue,nonexistent
student,single,no,no,jul,tue,nonexistent
technician,divorced,no,no,jul,tue,nonexistent
admin.,married,yes,no,jul,tue,nonexistent
entrepreneur,married,yes,no,jul,tue,nonexistent
admin.,single,no,no,jul,tue,nonexistent
services,married,no,no,jul,tue,nonexistent
technician,single,no,no,jul,tue,nonexistent
admin.,divorced,no,no,jul,tue,nonexistent
admin.,married,no,no,jul,tue,nonexistent
management,married,yes,yes,jul,tue,nonexistent
blue-collar,single,no,no,jul,tue,nonexistent
admin.,single,no,no,jul,tue,nonexistent
admin.,married,yes,yes,jul,wed,nonexistent
technician,single,yes,no,jul,wed,nonexistent
admin.,married,yes,no,jul,wed,nonexistent
admin.,single,yes,no,jul,wed,nonexistent
admin.,single,yes,no,jul,wed,nonexistent
technician,married,yes,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
admin.,married,yes,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
self-employed,single,no,no,jul,wed,nonexistent
admin.,married,no,no,jul,wed,nonexistent
technician,married,no,no,jul,wed,nonexistent
retired,divorced,yes,no,jul,wed,nonexistent
technician,divorced,no,no,jul,wed,nonexistent
retired,married,yes,no,jul,wed,nonexistent
blue-collar,married,no,no,jul,wed,nonexistent
entrepreneur,married,yes,no,jul,wed,nonexistent
technician,divorced,yes,no,jul,wed,nonexistent
technician,divorced,no,no,jul,wed,nonexistent
technician,divorced,no,no,jul,wed,nonexistent
services,married,no,no,jul,wed,nonexistent
services,married,no,no,jul,wed,nonexistent
management,single,yes,no,jul,wed,nonexistent
admin.,single,yes,no,jul,wed,nonexistent
management,married,no,no,jul,wed,nonexistent
blue-collar,divorced,yes,no,jul,wed,nonexistent
admin.,married,no,no,jul,wed,nonexistent
retired,married,yes,yes,jul,wed,nonexistent
services,single,yes,no,jul,wed,nonexistent
admin.,single,yes,no,jul,wed,nonexistent
technician,single,yes,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
admin.,married,no,no,jul,wed,nonexistent
admin.,married,yes,yes,jul,wed,nonexistent
services,married,yes,no,jul,wed,nonexistent
technician,married,yes,yes,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
services,married,no,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
technician,single,yes,yes,jul,wed,nonexistent
self-employed,single,yes,no,jul,wed,nonexistent
admin.,married,yes,no,jul,wed,nonexistent
housemaid,married,yes,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
housemaid,married,yes,no,jul,wed,nonexistent
housemaid,married,no,no,jul,wed,nonexistent
services,married,yes,no,jul,wed,nonexistent
housemaid,married,yes,no,jul,wed,nonexistent
housemaid,married,yes,no,jul,wed,nonexistent
housemaid,married,yes,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
admin.,single,no,no,jul,wed,nonexistent
housemaid,married,no,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
housemaid,married,yes,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
management,married,yes,no,jul,wed,nonexistent
admin.,divorced,yes,no,jul,wed,nonexistent
self-employed,married,yes,no,jul,wed,nonexistent
admin.,married,yes,no,jul,wed,nonexistent
management,married,yes,no,jul,wed,nonexistent
management,married,yes,no,jul,wed,nonexistent
management,married,no,no,jul,wed,nonexistent
housemaid,married,no,yes,jul,wed,nonexistent
management,married,yes,no,jul,wed,nonexistent
blue-collar,divorced,yes,no,jul,wed,nonexistent
management,married,no,yes,jul,wed,nonexistent
services,single,yes,no,jul,wed,nonexistent
blue-collar,married,no,yes,jul,wed,nonexistent
management,married,no,no,jul,wed,nonexistent
services,single,yes,no,jul,wed,nonexistent
admin.,married,no,yes,jul,wed,nonexistent
services,single,yes,no,jul,wed,nonexistent
services,single,yes,no,jul,wed,nonexistent
blue-collar,married,no,no,jul,wed,nonexistent
services,single,yes,no,jul,wed,nonexistent
unemployed,married,yes,no,jul,wed,nonexistent
unemployed,married,no,no,jul,wed,nonexistent
services,single,yes,no,jul,wed,nonexistent
admin.,married,yes,no,jul,wed,nonexistent
technician,married,yes,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
technician,single,yes,yes,jul,wed,nonexistent
blue-collar,married,no,no,jul,wed,nonexistent
admin.,married,yes,no,jul,wed,nonexistent
admin.,single,yes,no,jul,wed,nonexistent
admin.,single,no,no,jul,wed,nonexistent
admin.,single,yes,no,jul,wed,nonexistent
technician,married,yes,no,jul,wed,nonexistent
technician,married,yes,no,jul,wed,nonexistent
entrepreneur,married,yes,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
services,single,yes,no,jul,wed,nonexistent
management,married,yes,no,jul,wed,nonexistent
blue-collar,divorced,no,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
admin.,single,no,no,jul,wed,nonexistent
technician,married,yes,yes,jul,wed,nonexistent
blue-collar,married,no,no,jul,wed,nonexistent
blue-collar,divorced,yes,no,jul,wed,nonexistent
technician,married,yes,yes,jul,wed,nonexistent
admin.,single,yes,yes,jul,wed,nonexistent
technician,married,yes,no,jul,wed,nonexistent
admin.,single,no,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
blue-collar,married,no,yes,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
services,married,yes,no,jul,wed,nonexistent
services,single,yes,no,jul,wed,nonexistent
blue-collar,married,no,no,jul,wed,nonexistent
management,single,yes,yes,jul,wed,nonexistent
entrepreneur,divorced,no,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
unemployed,married,no,no,jul,wed,nonexistent
admin.,married,no,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
blue-collar,married,no,no,jul,wed,nonexistent
admin.,married,no,no,jul,wed,nonexistent
admin.,married,yes,yes,jul,wed,nonexistent
management,single,no,no,jul,wed,nonexistent
blue-collar,married,no,yes,jul,wed,nonexistent
technician,divorced,yes,no,jul,wed,nonexistent
technician,divorced,no,no,jul,wed,nonexistent
blue-collar,single,no,no,jul,wed,nonexistent
unemployed,married,no,yes,jul,wed,nonexistent
technician,divorced,yes,no,jul,wed,nonexistent
technician,divorced,yes,no,jul,wed,nonexistent
technician,married,yes,no,jul,wed,nonexistent
unemployed,married,yes,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
technician,married,yes,no,jul,wed,nonexistent
technician,single,no,no,jul,wed,nonexistent
blue-collar,single,yes,yes,jul,wed,nonexistent
blue-collar,married,no,no,jul,wed,nonexistent
admin.,divorced,no,no,jul,wed,nonexistent
admin.,divorced,yes,no,jul,wed,nonexistent
technician,married,yes,no,jul,wed,nonexistent
blue-collar,divorced,no,no,jul,wed,nonexistent
blue-collar,divorced,yes,no,jul,wed,nonexistent
admin.,married,yes,no,jul,wed,nonexistent
admin.,married,yes,no,jul,wed,nonexistent
retired,married,yes,no,jul,wed,nonexistent
blue-collar,divorced,yes,no,jul,wed,nonexistent
blue-collar,single,yes,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
blue-collar,single,yes,yes,jul,wed,nonexistent
blue-collar,divorced,yes,no,jul,wed,nonexistent
admin.,single,yes,yes,jul,wed,nonexistent
technician,married,no,no,jul,wed,nonexistent
technician,married,yes,no,jul,wed,nonexistent
management,married,no,no,jul,wed,nonexistent
technician,married,yes,no,jul,wed,nonexistent
admin.,divorced,yes,yes,jul,wed,nonexistent
blue-collar,married,no,no,jul,wed,nonexistent
admin.,single,yes,no,jul,wed,nonexistent
blue-collar,single,no,no,jul,wed,nonexistent
admin.,single,yes,no,jul,wed,nonexistent
housemaid,married,no,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
admin.,married,yes,no,jul,wed,nonexistent
technician,married,yes,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
blue-collar,married,no,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
blue-collar,married,no,no,jul,wed,nonexistent
housemaid,married,yes,no,jul,wed,nonexistent
admin.,single,yes,no,jul,wed,nonexistent
blue-collar,single,yes,no,jul,wed,nonexistent
admin.,married,yes,yes,jul,wed,nonexistent
student,single,no,yes,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
technician,single,no,yes,jul,wed,nonexistent
admin.,single,no,no,jul,wed,nonexistent
admin.,married,yes,no,jul,wed,nonexistent
blue-collar,single,yes,no,jul,wed,nonexistent
unemployed,married,yes,no,jul,wed,nonexistent
unemployed,married,yes,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
admin.,divorced,yes,no,jul,wed,nonexistent
retired,married,yes,no,jul,wed,nonexistent
admin.,married,yes,no,jul,wed,nonexistent
unemployed,single,yes,no,jul,wed,nonexistent
blue-collar,single,no,no,jul,wed,nonexistent
admin.,married,yes,no,jul,wed,nonexistent
services,divorced,yes,no,jul,wed,nonexistent
housemaid,single,no,no,jul,wed,nonexistent
management,married,no,no,jul,wed,nonexistent
admin.,single,yes,yes,jul,wed,nonexistent
services,married,no,no,jul,wed,nonexistent
technician,married,yes,no,jul,wed,nonexistent
admin.,single,yes,no,jul,wed,nonexistent
admin.,single,no,no,jul,wed,nonexistent
admin.,divorced,no,no,jul,wed,nonexistent
services,divorced,yes,no,jul,wed,nonexistent
admin.,married,no,no,jul,wed,nonexistent
services,single,yes,no,jul,wed,nonexistent
entrepreneur,married,no,no,jul,wed,nonexistent
entrepreneur,married,no,no,jul,wed,nonexistent
technician,married,yes,no,jul,wed,nonexistent
services,married,no,no,jul,wed,nonexistent
technician,single,yes,no,jul,wed,nonexistent
admin.,married,no,yes,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
technician,married,yes,no,jul,wed,nonexistent
admin.,single,no,no,jul,wed,nonexistent
management,married,yes,no,jul,wed,nonexistent
admin.,married,yes,no,jul,wed,nonexistent
admin.,single,yes,no,jul,wed,nonexistent
technician,single,no,no,jul,wed,nonexistent
self-employed,married,no,no,jul,wed,nonexistent
admin.,married,yes,no,jul,wed,nonexistent
management,married,no,no,jul,wed,nonexistent
services,married,yes,no,jul,wed,nonexistent
housemaid,married,no,no,jul,wed,nonexistent
blue-collar,married,no,no,jul,wed,nonexistent
blue-collar,married,no,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
services,married,yes,no,jul,wed,nonexistent
blue-collar,married,no,no,jul,wed,nonexistent
management,divorced,yes,yes,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
blue-collar,married,no,yes,jul,wed,nonexistent
blue-collar,married,no,yes,jul,wed,nonexistent
technician,married,yes,no,jul,wed,nonexistent
housemaid,married,yes,no,jul,wed,nonexistent
self-employed,married,yes,no,jul,wed,nonexistent
services,single,yes,no,jul,wed,nonexistent
technician,married,yes,no,jul,wed,nonexistent
self-employed,married,yes,yes,jul,wed,nonexistent
admin.,married,yes,no,jul,wed,nonexistent
technician,married,yes,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
blue-collar,single,yes,yes,jul,wed,nonexistent
entrepreneur,divorced,yes,no,jul,wed,nonexistent
blue-collar,single,no,no,jul,wed,nonexistent
entrepreneur,divorced,no,yes,jul,wed,nonexistent
management,single,yes,no,jul,wed,nonexistent
admin.,married,no,no,jul,wed,nonexistent
management,single,yes,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
admin.,single,yes,no,jul,wed,nonexistent
technician,married,yes,no,jul,wed,nonexistent
admin.,divorced,yes,no,jul,wed,nonexistent
admin.,single,yes,no,jul,wed,nonexistent
blue-collar,married,no,yes,jul,wed,nonexistent
housemaid,married,no,no,jul,wed,nonexistent
housemaid,married,no,no,jul,wed,nonexistent
services,married,yes,yes,jul,wed,nonexistent
blue-collar,divorced,no,no,jul,wed,nonexistent
blue-collar,divorced,yes,no,jul,wed,nonexistent
self-employed,single,yes,no,jul,wed,nonexistent
services,single,yes,no,jul,wed,nonexistent
technician,single,yes,no,jul,wed,nonexistent
services,married,yes,no,jul,wed,nonexistent
housemaid,married,no,no,jul,wed,nonexistent
services,single,no,no,jul,wed,nonexistent
admin.,divorced,yes,no,jul,wed,nonexistent
admin.,married,no,no,jul,wed,nonexistent
admin.,married,yes,no,jul,wed,nonexistent
admin.,married,no,no,jul,wed,nonexistent
entrepreneur,divorced,yes,yes,jul,wed,nonexistent
services,married,no,no,jul,wed,nonexistent
admin.,divorced,no,no,jul,wed,nonexistent
technician,single,yes,no,jul,wed,nonexistent
technician,married,no,no,jul,wed,nonexistent
admin.,married,yes,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
unemployed,married,no,no,jul,wed,nonexistent
services,married,no,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
blue-collar,single,no,no,jul,wed,nonexistent
entrepreneur,married,no,no,jul,wed,nonexistent
blue-collar,single,yes,no,jul,wed,nonexistent
blue-collar,married,no,no,jul,wed,nonexistent
technician,single,yes,no,jul,wed,nonexistent
admin.,single,yes,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
self-employed,single,no,no,jul,wed,nonexistent
management,married,no,no,jul,wed,nonexistent
services,single,yes,no,jul,wed,nonexistent
services,married,no,no,jul,wed,nonexistent
blue-collar,married,no,no,jul,wed,nonexistent
blue-collar,single,yes,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
housemaid,married,yes,no,jul,wed,nonexistent
blue-collar,single,no,no,jul,wed,nonexistent
blue-collar,single,yes,no,jul,wed,nonexistent
blue-collar,single,yes,no,jul,wed,nonexistent
housemaid,married,no,no,jul,wed,nonexistent
admin.,married,no,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
technician,single,yes,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
blue-collar,single,no,no,jul,wed,nonexistent
blue-collar,single,yes,no,jul,wed,nonexistent
technician,single,no,no,jul,wed,nonexistent
admin.,divorced,yes,no,jul,wed,nonexistent
blue-collar,married,no,no,jul,wed,nonexistent
blue-collar,married,no,no,jul,wed,nonexistent
blue-collar,married,no,no,jul,wed,nonexistent
blue-collar,married,no,yes,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
technician,single,yes,no,jul,wed,nonexistent
admin.,married,yes,no,jul,wed,nonexistent
admin.,married,no,no,jul,wed,nonexistent
admin.,married,no,yes,jul,wed,nonexistent
admin.,married,yes,yes,jul,wed,nonexistent
admin.,single,no,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
admin.,married,no,no,jul,wed,nonexistent
unemployed,single,no,no,jul,wed,nonexistent
management,married,yes,no,jul,wed,nonexistent
unemployed,single,yes,no,jul,wed,nonexistent
unemployed,married,no,yes,jul,wed,nonexistent
admin.,single,yes,yes,jul,wed,nonexistent
technician,married,yes,no,jul,wed,nonexistent
admin.,married,no,no,jul,wed,nonexistent
blue-collar,single,yes,no,jul,wed,nonexistent
technician,married,no,no,jul,wed,nonexistent
admin.,married,no,no,jul,wed,nonexistent
technician,married,yes,no,jul,wed,nonexistent
technician,married,yes,no,jul,wed,nonexistent
technician,married,no,no,jul,wed,nonexistent
retired,married,no,no,jul,wed,nonexistent
technician,divorced,yes,no,jul,wed,nonexistent
blue-collar,single,no,no,jul,wed,nonexistent
technician,single,yes,no,jul,wed,nonexistent
admin.,married,no,no,jul,wed,nonexistent
blue-collar,divorced,no,no,jul,wed,nonexistent
technician,single,no,no,jul,wed,nonexistent
entrepreneur,married,no,no,jul,wed,nonexistent
retired,married,no,no,jul,wed,nonexistent
services,single,no,no,jul,wed,nonexistent
admin.,single,no,no,jul,wed,nonexistent
technician,married,no,no,jul,wed,nonexistent
blue-collar,divorced,yes,no,jul,wed,nonexistent
blue-collar,married,yes,yes,jul,wed,nonexistent
technician,single,yes,yes,jul,wed,nonexistent
blue-collar,single,no,no,jul,wed,nonexistent
management,divorced,no,no,jul,wed,nonexistent
management,married,yes,no,jul,wed,nonexistent
admin.,married,yes,no,jul,wed,nonexistent
admin.,married,no,no,jul,wed,nonexistent
technician,single,no,no,jul,wed,nonexistent
unemployed,married,yes,no,jul,wed,nonexistent
blue-collar,married,no,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
technician,single,yes,yes,jul,wed,nonexistent
technician,married,no,no,jul,wed,nonexistent
technician,single,yes,no,jul,wed,nonexistent
admin.,single,no,no,jul,wed,nonexistent
admin.,married,no,no,jul,wed,nonexistent
blue-collar,single,yes,no,jul,wed,nonexistent
admin.,single,yes,no,jul,wed,nonexistent
technician,married,no,no,jul,wed,nonexistent
admin.,married,no,no,jul,wed,nonexistent
technician,divorced,no,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
admin.,married,yes,no,jul,wed,nonexistent
technician,divorced,no,no,jul,wed,nonexistent
admin.,single,no,no,jul,wed,nonexistent
technician,married,no,no,jul,wed,nonexistent
blue-collar,married,no,no,jul,wed,nonexistent
technician,divorced,yes,no,jul,wed,nonexistent
services,single,yes,no,jul,wed,nonexistent
services,divorced,yes,no,jul,wed,nonexistent
services,divorced,yes,no,jul,wed,nonexistent
blue-collar,divorced,no,no,jul,wed,nonexistent
blue-collar,married,yes,no,jul,wed,nonexistent
housemaid,married,no,no,jul,wed,nonexistent
services,married,yes,yes,jul,wed,nonexistent
services,single,no,no,jul,wed,nonexistent
retired,single,no,no,jul,thu,nonexistent
blue-collar,married,yes,no,jul,thu,nonexistent
admin.,divorced,no,no,jul,thu,nonexistent
admin.,divorced,yes,no,jul,thu,nonexistent
blue-collar,married,no,no,jul,thu,nonexistent
blue-collar,married,no,no,jul,thu,nonexistent
admin.,divorced,yes,no,jul,thu,nonexistent
blue-collar,married,no,no,jul,thu,nonexistent
blue-collar,married,yes,no,jul,thu,nonexistent
blue-collar,married,yes,no,jul,thu,nonexistent
retired,married,yes,no,jul,thu,nonexistent
blue-collar,divorced,yes,no,jul,thu,nonexistent
blue-collar,married,no,yes,jul,thu,nonexistent
blue-collar,married,yes,no,jul,thu,nonexistent
blue-collar,married,yes,no,jul,thu,nonexistent
blue-collar,married,yes,yes,jul,thu,nonexistent
blue-collar,married,yes,no,jul,thu,nonexistent
